"year","state","district","ID","INC","Open","Challenge","Winner","Dcont","Rcont","Ocont","Midterm.","PVI...100.to.100.","PresYrsIncumb","PresParty","PrevPresR.","PrevPresD.","PrevPresParty","TermsDemControl","TermsRepControl","Age.25.to.44","Age.65.and.over","Race.White","Race.Black.or.African.American","Race.American.Indian.and.Alaska.Native","Race.Asian","Race.Native.Hawaiian.and.Other.Pacific.Islander","Race.Some.other.race","Race.Two.or.more.races","Race.Hispanic.or.Latino","Unemployment.Rate","Delta.unemployment.Rate","Median.household.income","PercentDelta.median.household.income","Percent.below.poverty.level","INC_DW_NOM","SabatoNum","PVI2","demoScore","thirdParty","midtermEffect","ideologyEffect","dContDiff","Repub","dPct2","rPct2","dWin","Polls","dSwing","PrevElectionD2","Prev2ElectionD2","Prev2ElectionD2Diff","OpenInc","midPres","PrevElectionD2Diff","PrevElectionD2DiffSwing","logDCont","logRCont","logDContDiff","ideologyEffect2","crossPressure","dPctPred","Pred"
"2018","AL","1","2018AL1","R",0,1,"0",23074.18,533325.02,0,"1",15,2,"R",63.5,34.1,"R",0,20,24.8,16.1,67.4,27.7,1,1.4,0,0.8,1.7,3,3.1,-2.7,47083,-0.058917231,13.5,0.544,5,16,0.013830691,"0","1",8.16,-510250.84,1,0,0,0,6.2,7.3,0,0.317543213229423,-0.182456786770577,"R","R",-0.5,-0.317543213229423,10.0465128599907,13.1868881859479,-3.1403753259572,8.16,0,0.301962842461384,1
"2018","AL","2","2018AL2","R",0,1,"0",187844.77,483254.81,0,"1",16,2,"R",64.9,33,"R",0,4,26,15.6,64.7,30.9,0.4,1.1,0,1.1,1.9,3.5,3.4,-1.9,42035,0.014511716,15.2,0.367,5,17,0.022356375,"0","1",5.872,-295410.04,1,0,0,0,6.2,7.3,0.453655167,0.325945349779466,-0.174054650220534,"R","R",-0.046344833,0.127709817220534,12.1433765327821,13.0883014197608,-0.944924886978731,5.872,0,0.366304175526974,258
"2018","AL","3","2018AL3","R",0,1,"0",162345.21,462188.68,0,"1",16,2,"R",65.3,32.3,"R",0,11,25.2,15.1,70.1,25.4,0.3,1.6,0,0.9,1.7,2.9,3.8,-1.8,46544,-0.10418099,11,0.338,5,17,0.003772915,"0","1",5.408,-299843.47,1,0,0,0,6.2,7.3,0.329124031,0.337754358353333,-0.162245641646667,"R","R",-0.170875969,-0.0086303273533328,11.9974864326327,13.0437306485766,-1.04624421594391,5.408,0,0.350119477447393,109
"2018","AL","4","2018AL4","R",0,1,"0",29701.36,730917.38,0,"1",30,2,"R",80.4,17.4,"R",0,11,24.5,17.1,88.1,7,0.8,0.6,0.1,1.6,1.8,6.2,3.3,-1.4,41110,-0.047749939,13.5,0.361,5,31,-0.040139649,"0","1",10.83,-701216.02,1,0,0,0,6.2,7.3,0,0,-0.5,"R","R",-0.5,0,10.2989817829134,13.5020570772312,-3.20307529431787,10.83,0,0.24222654665808,0
"2018","AL","5","2018AL5","R",0,1,"0",216750.36,50503.16,250619.88,"1",18,2,"R",64.7,31.3,"R",0,4,25.5,15,76.7,17.2,0.6,1.6,0.1,1.1,2.6,4.9,3.1,-2.1,51690,-0.02511124,11.6,0.6,5,18,-0.012922973,"0","1",10.8,166247.2,1,0,0,0,6.2,7.3,0.331552251,0,-0.5,"R","R",-0.168447749,0.331552251,12.2865061691329,10.8298109881083,1.45669518102457,10.8,0,0.379337916852119,472
"2018","AL","6","2018AL6","R",0,1,"0",117170.83,558700.8,0,"1",26,2,"R",70.8,26.1,"R",0,13,27,14.6,79.6,14.7,0.2,1.7,0,2.2,1.5,4.9,2.7,-1.2,61413,-0.028560728,6.8,0.779,5,26,-0.01905958,"0","1",20.254,-441529.97,1,0,0,0,6.2,7.3,0.252320814,0.237275298066728,-0.262724701933272,"R","R",-0.247679186,0.0150455159332722,11.6713967688726,13.2333711572069,-1.56197438833429,20.254,0,0.30223708463047,1
"2018","AK","1","2018AK1","R",0,1,"0",71732.03,576638.79,263166.66,"1",9,2,"R",52.8,37.6,"R",0,20,28.2,9.4,65.6,3.3,14.1,6,1.2,1.3,8.5,6.7,5.4,-0.1,76440,-0.051347462,6.7,0.279,5,8,0.036771685,"0","1",2.511,-504906.76,1,0,0,0,6.2,7.3,0.419300457495264,0.445620475189408,-0.054379524810592,"R","R",-0.0806995425047363,-0.0263200176941443,11.1807065899682,13.2649730697833,-2.08426647981512,2.511,0,0.402598011132412,1336
"2018","AZ","1","2018AZ1","D",0,1,"0",625763.11,491630.54,0,"1",2,2,"R",47.7,46.6,"R",3,0,23.8,16.4,65,2.3,23.6,1.6,0.2,4,3.3,21.7,4.6,-1.8,50537,-0.059481172,14.8,-0.168,-3,2,-0.002649984,"0","-1",-0.336,134132.57,-1,0,0,0,6.2,7.3,0.538686695852346,0.526113638,0.026113638,"D","R",0.0386866958523457,0.0125730578523457,13.3467287579811,13.1054848124679,0.241243945513165,0.336,-1,0.57249925895114,16890
"2018","AZ","2","2018AZ2","R",1,1,"0",1586202.63,244340.45,0,"1",1,2,"R",44.7,49.6,"D",0,2,24,19.7,81.1,4.1,1.4,2.9,0.2,5.9,4.3,27.6,3.7,-1.2,49072,-0.031891914,12.7,0.345,-2,0,0.013988114,"0","1",0.345,1341862.18,1,0,0,0,6.2,7.3,0.433324109,0.499632833917014,-0.000367166082986203,"Open","R",-0.066675891,-0.0663087249170138,14.2768540651169,12.4063219112942,1.87053215382274,0.345,1,0.539681440988877,14051
"2018","AZ","3","2018AZ3","D",0,1,"0",401027.4,47401.64,0,"1",-13,2,"R",32.5,62.4,"D",3,0,26.4,10.5,71.4,4.7,4,1.8,0.1,14.8,3.3,61.9,5.8,-1.3,44224,-0.06627623,16.4,-0.6,-5,-13,-0.014249685,"0","-1",7.8,353625.76,-1,0,0,0,6.2,7.3,1,0.557517460589816,0.0575174605898155,"D","R",0.5,0.442482539410184,12.9017875267235,10.7664332023347,2.1353543243888,-7.8,0,0.687303961133105,19996
"2018","AZ","4","2018AZ4","R",0,1,"0",162467.85,239031,0,"1",21,2,"R",67.7,27.5,"R",0,3,20.8,25.8,88.1,1.8,1.9,1.2,0.2,4.4,2.5,18.4,3.3,-1.8,49466,-0.103525654,9.2,0.619,5,21,-0.027907241,"0","1",12.999,-76563.15,1,0,0,0,6.2,7.3,0.284821581,0.269341059385288,-0.230658940614712,"R","R",-0.215178419,0.0154805216147116,11.9982415700689,12.3843527131644,-0.386111143095491,12.999,0,0.328391636488754,19
"2018","AZ","5","2018AZ5","R",0,1,"0",79132.31,0,335763.72,"1",15,2,"R",57.6,36.5,"R",0,4,25.8,15.9,85.6,3,1,4.5,0.2,2.7,3,17.7,3.2,-0.7,71693,-0.070760046,6.7,0.895,5,14,-0.022232264,"0","1",13.425,79132.31,1,0,0,0,6.2,7.3,0.36859775,0.304218697,-0.195781303,"R","R",-0.13140225,0.064379053,11.2788891776286,0,11.2788891776286,13.425,0,0.386522837134512,715
